Sample in Buffer,Sample in Window,TRIGGER,pynq_z2_i/top_0_ila_ab_edge,pynq_z2_i/top_0_ila_z_edge,pynq_z2_i/top_0_ila_ab_count[7:0],pynq_z2_i/top_0_ila_ppr_conf[7:0],pynq_z2_i/top_0_ila_ab_period[31:0],pynq_z2_i/top_0_ila_angle_angfac[31:0],pynq_z2_i/top_0_ila_angle_nco_ab_inc[31:0],pynq_z2_i/top_0_ila_angle_nco_clk_inc[31:0],pynq_z2_i/top_0_ila_angle_nco_clk_inc_valid,pynq_z2_i/top_0_ila_ref_edge,pynq_z2_i/top_0_ila_phase_ref_det,pynq_z2_i/top_0_ila_phase_ref_found,pynq_z2_i/top_0_ila_phase_eng,pynq_z2_i/top_0_ila_phase_ref_angfac[31:0],pynq_z2_i/top_0_ila_phase_ref_det_cnt[15:0],pynq_z2_i/top_0_ila_sync_state[1:0],pynq_z2_i/top_0_ila_sync_full,pynq_z2_i/top_0_ila_pll_angfac[31:0],pynq_z2_i/top_0_ila_pll_nco_accum[31:0],pynq_z2_i/top_0_ila_pll_err_angfac[31:0],pynq_z2_i/top_0_ila_pll_p_term[31:0],pynq_z2_i/top_0_ila_pll_i_term[31:0],pynq_z2_i/top_0_ila_pll_pi_corr[31:0],pynq_z2_i/top_0_ila_pll_div_valid,pynq_z2_i/top_0_ila_ang_angfac[31:0],pynq_z2_i/top_0_ila_tdc_deg[15:0],pynq_z2_i/top_0_ila_trig_pulse,pynq_z2_i/top_0_ila_trig_count[31:0],pynq_z2_i/top_0_ila_fault_cam_tooth,pynq_z2_i/top_0_ila_fault_crank_tooth,pynq_z2_i/top_0_ila_fault_crank_ab,pynq_z2_i/top_0_ila_fault_pll_phase,pynq_z2_i/top_0_ila_fault_speed_calc
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,0,0,37,60,0001871c,edd9d8a2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eab23058,eab23058,fcd9ffaa,00000000,00000000,00000000,1,3990476962,3344,1,00000d11,0,0,0,1,0
1,1,0,0,0,37,60,0001871c,edec0ff2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eac467a8,eac467a8,fcd9ffaa,00000000,00000000,00000000,1,3991670770,3345,1,00000d12,0,0,0,1,0
2,2,0,0,0,37,60,0001871c,edfe4478,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ead69c2e,ead69c2e,fcd9ffaa,00000000,00000000,00000000,1,3992863864,3346,1,00000d13,0,0,0,1,0
3,3,0,0,0,37,60,0001871c,ee1078fe,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eae8d0b4,eae8d0b4,fcd9ffaa,00000000,00000000,00000000,1,3994056958,3347,1,00000d14,0,0,0,1,0
4,4,0,0,0,37,60,0001871c,ee22b04e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eafb0804,eafb0804,fcd9ffaa,00000000,00000000,00000000,1,3995250766,3348,1,00000d15,0,0,0,1,0
5,5,0,0,0,37,60,0001871c,ee34e4d4,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb0d3c8a,eb0d3c8a,fcd9ffaa,00000000,00000000,00000000,1,3996443860,3349,1,00000d16,0,0,0,1,0
6,6,0,0,0,37,60,0001871c,ee47195a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb1f7110,eb1f7110,fcd9ffaa,00000000,00000000,00000000,1,3997636954,3350,1,00000d17,0,0,0,1,0
7,7,0,0,0,37,60,0001871c,ee5950aa,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb31a860,eb31a860,fcd9ffaa,00000000,00000000,00000000,1,3998830762,3351,1,00000d18,0,0,0,1,0
8,8,0,0,0,37,60,0001871c,ee6b8530,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb43dce6,eb43dce6,fcd9ffaa,00000000,00000000,00000000,1,4000023856,3352,1,00000d19,0,0,0,1,0
9,9,0,0,0,37,60,0001871c,ee7db9b6,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb56116c,eb56116c,fcd9ffaa,00000000,00000000,00000000,1,4001216950,3353,1,00000d1a,0,0,0,1,0
10,10,0,0,0,37,60,0001871c,ee8ff106,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb6848bc,eb6848bc,fcd9ffaa,00000000,00000000,00000000,1,4002410758,3354,1,00000d1b,0,0,0,1,0
11,11,0,0,0,37,60,0001871c,eea2258c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb7a7d42,eb7a7d42,fcd9ffaa,00000000,00000000,00000000,1,4003603852,3355,1,00000d1c,0,0,0,1,0
12,12,0,0,0,37,60,0001871c,eeb45a12,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb8cb1c8,eb8cb1c8,fcd9ffaa,00000000,00000000,00000000,1,4004796946,3356,1,00000d1d,0,0,0,1,0
13,13,0,0,0,37,60,0001871c,eec69162,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eb9ee918,eb9ee918,fcd9ffaa,00000000,00000000,00000000,1,4005990754,3357,1,00000d1e,0,0,0,1,0
14,14,0,0,0,37,60,0001871c,eed8c5e8,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebb11d9e,ebb11d9e,fcd9ffaa,00000000,00000000,00000000,1,4007183848,3358,1,00000d1f,0,0,0,1,0
15,15,0,0,0,37,60,0001871c,eeeafa6e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebc35224,ebc35224,fcd9ffaa,00000000,00000000,00000000,1,4008376942,3359,1,00000d20,0,0,0,1,0
16,16,0,0,0,38,60,0001871b,eefd31c2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebd453de,ebd453de,fcd857b6,00000000,00000000,00000000,1,4009570754,3360,1,00000d21,0,0,0,1,0
17,17,0,0,0,38,60,0001871b,ef0f6648,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebe68864,ebe68864,fcd857b6,00000000,00000000,00000000,1,4010763848,3361,1,00000d22,0,0,0,1,0
18,18,0,0,0,38,60,0001871b,ef219ace,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ebf8bcea,ebf8bcea,fcd857b6,00000000,00000000,00000000,1,4011956942,3362,1,00000d23,0,0,0,1,0
19,19,0,0,0,38,60,0001871b,ef33d21e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec0af43a,ec0af43a,fcd857b6,00000000,00000000,00000000,1,4013150750,3363,1,00000d24,0,0,0,1,0
20,20,0,0,0,38,60,0001871b,ef4606a4,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec1d28c0,ec1d28c0,fcd857b6,00000000,00000000,00000000,1,4014343844,3364,1,00000d25,0,0,0,1,0
21,21,0,0,0,38,60,0001871b,ef583b2a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec2f5d46,ec2f5d46,fcd857b6,00000000,00000000,00000000,1,4015536938,3365,1,00000d26,0,0,0,1,0
22,22,0,0,0,38,60,0001871b,ef6a6fb0,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec4191cc,ec4191cc,fcd857b6,00000000,00000000,00000000,1,4016730032,3366,1,00000d27,0,0,0,1,0
23,23,0,0,0,38,60,0001871b,ef7ca700,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec53c91c,ec53c91c,fcd857b6,00000000,00000000,00000000,1,4017923840,3367,1,00000d28,0,0,0,1,0
24,24,0,0,0,38,60,0001871b,ef8edb86,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec65fda2,ec65fda2,fcd857b6,00000000,00000000,00000000,1,4019116934,3368,1,00000d29,0,0,0,1,0
25,25,0,0,0,38,60,0001871b,efa1100c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec783228,ec783228,fcd857b6,00000000,00000000,00000000,1,4020310028,3369,1,00000d2a,0,0,0,1,0
26,26,0,0,0,38,60,0001871b,efb3475c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec8a6978,ec8a6978,fcd857b6,00000000,00000000,00000000,1,4021503836,3370,1,00000d2b,0,0,0,1,0
27,27,0,0,0,38,60,0001871b,efc57be2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ec9c9dfe,ec9c9dfe,fcd857b6,00000000,00000000,00000000,1,4022696930,3371,1,00000d2c,0,0,0,1,0
28,28,0,0,0,38,60,0001871b,efd7b068,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ecaed284,ecaed284,fcd857b6,00000000,00000000,00000000,1,4023890024,3372,1,00000d2d,0,0,0,1,0
29,29,0,0,0,38,60,0001871b,efe9e7b8,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ecc109d4,ecc109d4,fcd857b6,00000000,00000000,00000000,1,4025083832,3373,1,00000d2e,0,0,0,1,0
30,30,0,0,0,38,60,0001871b,effc1c3e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ecd33e5a,ecd33e5a,fcd857b6,00000000,00000000,00000000,1,4026276926,3374,1,00000d2f,0,0,0,1,0
31,31,0,0,0,38,60,0001871b,f00e50c4,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ece572e0,ece572e0,fcd857b6,00000000,00000000,00000000,1,4027470020,3375,1,00000d30,0,0,0,1,0
32,32,0,0,0,38,60,0001871b,f0208814,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ecf7aa30,ecf7aa30,fcd857b6,00000000,00000000,00000000,1,4028663828,3376,1,00000d31,0,0,0,1,0
33,33,0,0,0,38,60,0001871b,f032bc9a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed09deb6,ed09deb6,fcd857b6,00000000,00000000,00000000,1,4029856922,3377,1,00000d32,0,0,0,1,0
34,34,0,0,0,38,60,0001871b,f044f120,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed1c133c,ed1c133c,fcd857b6,00000000,00000000,00000000,1,4031050016,3378,1,00000d33,0,0,0,1,0
35,35,0,0,0,38,60,0001871b,f0572870,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed2e4a8c,ed2e4a8c,fcd857b6,00000000,00000000,00000000,1,4032243824,3379,1,00000d34,0,0,0,1,0
36,36,0,0,0,38,60,0001871b,f0695cf6,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed407f12,ed407f12,fcd857b6,00000000,00000000,00000000,1,4033436918,3380,1,00000d35,0,0,0,1,0
37,37,0,0,0,38,60,0001871b,f07b917c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed52b398,ed52b398,fcd857b6,00000000,00000000,00000000,1,4034630012,3381,1,00000d36,0,0,0,1,0
38,38,0,0,0,38,60,0001871b,f08dc8cc,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed64eae8,ed64eae8,fcd857b6,00000000,00000000,00000000,1,4035823820,3382,1,00000d37,0,0,0,1,0
39,39,0,0,0,38,60,0001871b,f09ffd52,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed771f6e,ed771f6e,fcd857b6,00000000,00000000,00000000,1,4037016914,3383,1,00000d38,0,0,0,1,0
40,40,0,0,0,38,60,0001871b,f0b231d8,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed8953f4,ed8953f4,fcd857b6,00000000,00000000,00000000,1,4038210008,3384,1,00000d39,0,0,0,1,0
41,41,0,0,0,38,60,0001871b,f0c46928,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ed9b8b44,ed9b8b44,fcd857b6,00000000,00000000,00000000,1,4039403816,3385,1,00000d3a,0,0,0,1,0
42,42,0,0,0,38,60,0001871b,f0d69dae,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,edadbfca,edadbfca,fcd857b6,00000000,00000000,00000000,1,4040596910,3386,1,00000d3b,0,0,0,1,0
43,43,0,0,0,38,60,0001871b,f0e8d234,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,edbff450,edbff450,fcd857b6,00000000,00000000,00000000,1,4041790004,3387,1,00000d3c,0,0,0,1,0
44,44,0,0,0,38,60,0001871b,f0fb0984,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,edd22ba0,edd22ba0,fcd857b6,00000000,00000000,00000000,1,4042983812,3388,1,00000d3d,0,0,0,1,0
45,45,0,0,0,38,60,0001871b,f10d3e0a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ede46026,ede46026,fcd857b6,00000000,00000000,00000000,1,4044176906,3389,1,00000d3e,0,0,0,1,0
46,46,0,0,0,38,60,0001871b,f11f7290,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,edf694ac,edf694ac,fcd857b6,00000000,00000000,00000000,1,4045370000,3390,1,00000d3f,0,0,0,1,0
47,47,0,0,0,38,60,0001871b,f131a9e0,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ee08cbfc,ee08cbfc,fcd857b6,00000000,00000000,00000000,1,4046563808,3391,1,00000d40,0,0,0,1,0
48,48,0,0,0,38,60,0001871b,f143de66,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ee1b0082,ee1b0082,fcd857b6,00000000,00000000,00000000,1,4047756902,3392,1,00000d41,0,0,0,1,0
49,49,0,0,0,38,60,0001871b,f15612ec,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ee2d3508,ee2d3508,fcd857b6,00000000,00000000,00000000,1,4048949996,3393,1,00000d42,0,0,0,1,0
50,50,0,0,0,38,60,0001871b,f1684772,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ee3f698e,ee3f698e,fcd857b6,00000000,00000000,00000000,1,4050143090,3394,1,00000d43,0,0,0,1,0
51,51,0,0,0,38,60,0001871b,f17a7ec2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ee51a0de,ee51a0de,fcd857b6,00000000,00000000,00000000,1,4051336898,3395,1,00000d44,0,0,0,1,0
52,52,0,0,0,38,60,0001871b,f18cb348,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ee63d564,ee63d564,fcd857b6,00000000,00000000,00000000,1,4052529992,3396,1,00000d45,0,0,0,1,0
53,53,0,0,0,38,60,0001871b,f19ee7ce,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ee7609ea,ee7609ea,fcd857b6,00000000,00000000,00000000,1,4053723086,3397,1,00000d46,0,0,0,1,0
54,54,0,0,0,38,60,0001871b,f1b11f1e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ee88413a,ee88413a,fcd857b6,00000000,00000000,00000000,1,4054916894,3398,1,00000d47,0,0,0,1,0
55,55,0,0,0,38,60,0001871b,f1c353a4,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ee9a75c0,ee9a75c0,fcd857b6,00000000,00000000,00000000,1,4056109988,3399,1,00000d48,0,0,0,1,0
56,56,0,0,0,38,60,0001871b,f1d5882a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eeacaa46,eeacaa46,fcd857b6,00000000,00000000,00000000,1,4057303082,3400,1,00000d49,0,0,0,1,0
57,57,0,0,0,38,60,0001871b,f1e7bf7a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eebee196,eebee196,fcd857b6,00000000,00000000,00000000,1,4058496890,3401,1,00000d4a,0,0,0,1,0
58,58,0,0,0,38,60,0001871b,f1f9f400,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eed1161c,eed1161c,fcd857b6,00000000,00000000,00000000,1,4059689984,3402,1,00000d4b,0,0,0,1,0
59,59,0,0,0,38,60,0001871b,f20c2886,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eee34aa2,eee34aa2,fcd857b6,00000000,00000000,00000000,1,4060883078,3403,1,00000d4c,0,0,0,1,0
60,60,0,0,0,38,60,0001871b,f21e5fd6,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eef581f2,eef581f2,fcd857b6,00000000,00000000,00000000,1,4062076886,3404,1,00000d4d,0,0,0,1,0
61,61,0,0,0,38,60,0001871b,f230945c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ef07b678,ef07b678,fcd857b6,00000000,00000000,00000000,1,4063269980,3405,1,00000d4e,0,0,0,1,0
62,62,0,0,0,38,60,0001871b,f242c8e2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ef19eafe,ef19eafe,fcd857b6,00000000,00000000,00000000,1,4064463074,3406,1,00000d4f,0,0,0,1,0
63,63,0,0,0,38,60,0001871b,f2550032,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ef2c224e,ef2c224e,fcd857b6,00000000,00000000,00000000,1,4065656882,3407,1,00000d50,0,0,0,1,0
64,64,0,0,0,38,60,0001871b,f26734b8,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ef3e56d4,ef3e56d4,fcd857b6,00000000,00000000,00000000,1,4066849976,3408,1,00000d51,0,0,0,1,0
65,65,0,0,0,38,60,0001871b,f279693e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ef508b5a,ef508b5a,fcd857b6,00000000,00000000,00000000,1,4068043070,3409,1,00000d52,0,0,0,1,0
66,66,0,0,0,38,60,0001871b,f28ba08e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ef62c2aa,ef62c2aa,fcd857b6,00000000,00000000,00000000,1,4069236878,3410,1,00000d53,0,0,0,1,0
67,67,0,0,0,38,60,0001871b,f29dd514,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ef74f730,ef74f730,fcd857b6,00000000,00000000,00000000,1,4070429972,3411,1,00000d54,0,0,0,1,0
68,68,0,0,0,38,60,0001871b,f2b0099a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ef872bb6,ef872bb6,fcd857b6,00000000,00000000,00000000,1,4071623066,3412,1,00000d55,0,0,0,1,0
69,69,0,0,0,38,60,0001871b,f2c240ea,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,ef996306,ef996306,fcd857b6,00000000,00000000,00000000,1,4072816874,3413,1,00000d56,0,0,0,1,0
70,70,0,0,0,38,60,0001871b,f2d47570,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,efab978c,efab978c,fcd857b6,00000000,00000000,00000000,1,4074009968,3414,1,00000d57,0,0,0,1,0
71,71,0,0,0,38,60,0001871b,f2e6a9f6,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,efbdcc12,efbdcc12,fcd857b6,00000000,00000000,00000000,1,4075203062,3415,1,00000d58,0,0,0,1,0
72,72,0,0,0,38,60,0001871b,f2f8e146,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,efd00362,efd00362,fcd857b6,00000000,00000000,00000000,1,4076396870,3416,1,00000d59,0,0,0,1,0
73,73,0,0,0,38,60,0001871b,f30b15cc,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,efe237e8,efe237e8,fcd857b6,00000000,00000000,00000000,1,4077589964,3417,1,00000d5a,0,0,0,1,0
74,74,0,0,0,38,60,0001871b,f31d4a52,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,eff46c6e,eff46c6e,fcd857b6,00000000,00000000,00000000,1,4078783058,3418,1,00000d5b,0,0,0,1,0
75,75,0,0,0,38,60,0001871b,f32f81a2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f006a3be,f006a3be,fcd857b6,00000000,00000000,00000000,1,4079976866,3419,1,00000d5c,0,0,0,1,0
76,76,0,0,0,39,60,0001871c,f341b62c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f0176ae6,f0176ae6,fcd7221c,00000000,00000000,00000000,1,4081169964,3420,1,00000d5d,0,0,0,1,0
77,77,0,0,0,39,60,0001871c,f353eab2,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f0299f6c,f0299f6c,fcd7221c,00000000,00000000,00000000,1,4082363058,3421,1,00000d5e,0,0,0,1,0
78,78,0,0,0,39,60,0001871c,f3662202,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f03bd6bc,f03bd6bc,fcd7221c,00000000,00000000,00000000,1,4083556866,3422,1,00000d5f,0,0,0,1,0
79,79,0,0,0,39,60,0001871c,f3785688,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f04e0b42,f04e0b42,fcd7221c,00000000,00000000,00000000,1,4084749960,3423,1,00000d60,0,0,0,1,0
80,80,0,0,0,39,60,0001871c,f38a8b0e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f0603fc8,f0603fc8,fcd7221c,00000000,00000000,00000000,1,4085943054,3424,1,00000d61,0,0,0,1,0
81,81,0,0,0,39,60,0001871c,f39cbf94,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f072744e,f072744e,fcd7221c,00000000,00000000,00000000,1,4087136148,3425,1,00000d62,0,0,0,1,0
82,82,0,0,0,39,60,0001871c,f3aef6e4,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f084ab9e,f084ab9e,fcd7221c,00000000,00000000,00000000,1,4088329956,3426,1,00000d63,0,0,0,1,0
83,83,0,0,0,39,60,0001871c,f3c12b6a,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f096e024,f096e024,fcd7221c,00000000,00000000,00000000,1,4089523050,3427,1,00000d64,0,0,0,1,0
84,84,0,0,0,39,60,0001871c,f3d35ff0,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f0a914aa,f0a914aa,fcd7221c,00000000,00000000,00000000,1,4090716144,3428,1,00000d65,0,0,0,1,0
85,85,0,0,0,39,60,0001871c,f3e59740,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f0bb4bfa,f0bb4bfa,fcd7221c,00000000,00000000,00000000,1,4091909952,3429,1,00000d66,0,0,0,1,0
86,86,0,0,0,39,60,0001871c,f3f7cbc6,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f0cd8080,f0cd8080,fcd7221c,00000000,00000000,00000000,1,4093103046,3430,1,00000d67,0,0,0,1,0
87,87,0,0,0,39,60,0001871c,f40a004c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f0dfb506,f0dfb506,fcd7221c,00000000,00000000,00000000,1,4094296140,3431,1,00000d68,0,0,0,1,0
88,88,0,0,0,39,60,0001871c,f41c379c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f0f1ec56,f0f1ec56,fcd7221c,00000000,00000000,00000000,1,4095489948,3432,1,00000d69,0,0,0,1,0
89,89,0,0,0,39,60,0001871c,f42e6c22,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f10420dc,f10420dc,fcd7221c,00000000,00000000,00000000,1,4096683042,3433,1,00000d6a,0,0,0,1,0
90,90,0,0,0,39,60,0001871c,f440a0a8,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f1165562,f1165562,fcd7221c,00000000,00000000,00000000,1,4097876136,3434,1,00000d6b,0,0,0,1,0
91,91,0,0,0,39,60,0001871c,f452d7f8,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f1288cb2,f1288cb2,fcd7221c,00000000,00000000,00000000,1,4099069944,3435,1,00000d6c,0,0,0,1,0
92,92,0,0,0,39,60,0001871c,f4650c7e,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f13ac138,f13ac138,fcd7221c,00000000,00000000,00000000,1,4100263038,3436,1,00000d6d,0,0,0,1,0
93,93,0,0,0,39,60,0001871c,f4774104,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f14cf5be,f14cf5be,fcd7221c,00000000,00000000,00000000,1,4101456132,3437,1,00000d6e,0,0,0,1,0
94,94,0,0,0,39,60,0001871c,f4897854,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f15f2d0e,f15f2d0e,fcd7221c,00000000,00000000,00000000,1,4102649940,3438,1,00000d6f,0,0,0,1,0
95,95,0,0,0,39,60,0001871c,f49bacda,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f1716194,f1716194,fcd7221c,00000000,00000000,00000000,1,4103843034,3439,1,00000d70,0,0,0,1,0
96,96,0,0,0,39,60,0001871c,f4ade160,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f183961a,f183961a,fcd7221c,00000000,00000000,00000000,1,4105036128,3440,1,00000d71,0,0,0,1,0
97,97,0,0,0,39,60,0001871c,f4c018b0,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f195cd6a,f195cd6a,fcd7221c,00000000,00000000,00000000,1,4106229936,3441,1,00000d72,0,0,0,1,0
98,98,0,0,0,39,60,0001871c,f4d24d36,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f1a801f0,f1a801f0,fcd7221c,00000000,00000000,00000000,1,4107423030,3442,1,00000d73,0,0,0,1,0
99,99,0,0,0,39,60,0001871c,f4e481bc,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f1ba3676,f1ba3676,fcd7221c,00000000,00000000,00000000,1,4108616124,3443,1,00000d74,0,0,0,1,0
100,100,0,0,0,39,60,0001871c,f4f6b90c,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f1cc6dc6,f1cc6dc6,fcd7221c,00000000,00000000,00000000,1,4109809932,3444,1,00000d75,0,0,0,1,0
101,101,0,0,0,39,60,0001871c,f508ed92,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f1dea24c,f1dea24c,fcd7221c,00000000,00000000,00000000,1,4111003026,3445,1,00000d76,0,0,0,1,0
102,102,0,0,0,39,60,0001871c,f51b2218,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f1f0d6d2,f1f0d6d2,fcd7221c,00000000,00000000,00000000,1,4112196120,3446,1,00000d77,0,0,0,1,0
103,103,0,0,0,39,60,0001871c,f52d5968,04444444,000002ca,1,0,0,1,0,422354e8,0ade,"iSTATE2",1,f2030e22,f2030e22,fcd7221c,00000000,00000000,00000000,1,4113389928,3447,1,00000d78,0,0,0,1,0
